"","Player","Age","Tm","Pos","GP","G","A","PTS","Resids"
"108","Marcus Folignooligma01",27,"MIN","LW",82,7,12,19,0.0445594496268818
"206","Oscar Lindberg\lindbos02",27,"TOT","C",55,9,11,20,0.0432164517685907
"294","Colton Sceviour\scevico01",29,"FLA","C",59,5,10,15,0.043071049581453
"259","Cedric Paquette\paquece01",25,"TBL","C",80,13,4,17,0.0425720911380146
"74","Austin Czarnik\czarnau01",26,"CGY","C",54,6,12,18,0.0410424386591626
"44","Connor Brownrownco02",25,"TOR","RW",82,8,21,29,0.040179389630167
"25","Jay Beagleeaglja01",33,"VAN","RW",57,3,10,13,0.0400702270462298
"91","Cody Eakin\eakinco01",27,"VEG","C",78,22,19,41,0.0387331882680312
"299","Tyler Seguin\seguity01",27,"DAL","C",82,33,47,80,0.038436127811003
"289","Bryan Rust
ustbr01",26,"PIT","RW",72,18,17,35,0.037592088781545
"152","Zach Hyman\hymanza01",26,"TOR","C",71,21,20,41,0.0373987589829924
"144","Vinnie Hinostroza\hinosvi01",24,"ARI","C",72,16,23,39,0.0355859287426042
"293","Zach Sanford\sanfoza01",24,"STL","LW",60,8,12,20,0.0352479748479941
"147","Mike Hoffman\hoffmmi02",29,"FLA","C",82,36,34,70,0.0344260340474074
"194","Andrew Ladd\laddan01",33,"NYI","LW",26,3,8,11,0.0334889997533104
"315","Carl Soderberg\soderca01",33,"COL","C",82,23,26,49,0.0332171995267863
"72","Lawson Crouse\crousla01",21,"ARI","LW",81,11,14,25,0.0328662583346725
"10","Josh Archibaldrchijo01",26,"ARI","RW",68,12,10,22,0.0327925119847171
"46","Pavel Buchnevichuchnpa01",23,"NYR","LW",64,21,17,38,0.0319216021978034
"21","Rudolfs Balcersalceru01",21,"OTT","LW",36,5,9,14,0.0314255100754536
"227","Jared McCann\mccanja01",22,"TOT","C",78,19,16,35,0.0309063609795109
"318","Daniel Sprong\spronda01",21,"TOT","RW",63,14,9,23,0.0301408659458472
"18","Nicklas Backstromacksni02",31,"WSH","C",80,22,52,74,0.0298553278006094
"350","James van Riemsdykanrija01",29,"PHI","LW",66,27,21,48,0.0294078132338702
"89","Anthony Duclair\duclaan01",23,"TOT","LW",74,19,14,33,0.0286515966142807
"260","Zach Parise\parisza01",34,"MIN","LW",74,28,33,61,0.0283948247833419
"269","Brandon Pirri\pirribr01",27,"VEG","C",31,12,6,18,0.0279763033518497
"178","Jujhar Khaira\khairju01",24,"EDM","LW",60,3,15,18,0.0267442335443697
"75","Evgenii Dadonov\dadonev01",29,"FLA","RW",82,28,42,70,0.0252161982933578
"37","Henrik Borgströmorgshe01",21,"FLA","C",50,8,10,18,0.0210224003711547
"263","Joe Pavelski\paveljo01",34,"SJS","C",75,38,26,64,0.0207950994197716
"207","Oskar Lindblom\lindbos01",22,"PHI","LW",81,17,16,33,0.020366485385975
"362","Dale Weise\weiseda01",30,"TOT","RW",51,5,6,11,0.0194612042845512
"224","Matt Martin\martima02",29,"NYI","LW",67,6,8,14,0.0182174012388709
"355","Jakub Voracekoracja01",29,"PHI","RW",78,20,46,66,0.0177855664567562
"43","Troy Brouwerrouwtr01",33,"FLA","RW",75,12,9,21,0.0157472792794949
"31","Tyler Bertuzziertuty01",23,"DET","LW",73,21,26,47,0.0152514943201803
"282","Brad Richardson
ichabr02",33,"ARI","C",66,19,8,27,0.0139160296980082
"266","Mathieu Perreault\perrema01",31,"WPG","C",82,15,15,30,0.0124772319850364
